model_id,station,AccessMode,Brd_PA,Dist_15,Dist_Med,Dist_85,Dist_Avg,Notes
v910-official__BY_2019,13-AMERICAN FORK STATION,All,1522.3899999999999,2.12,4.16,8.16,4.988550962631127,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,14-OREM CENTRAL STATION,All,1126.86,2.5,5.26,20.38,9.7593863479048,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,15-PROVO CENTRAL STATION,All,211.95999999999998,1.04,1.8,3.2,2.596192677863748,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,01-OGDEN STATION,walk,486.42999999999995,0.21,0.39,0.67,0.4110827868346936,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,02-ROY STATION,walk,796.2399999999999,0.37,0.45,0.78,0.528842434441877,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,03-CLEARFIELD STATION,walk,1249.38,0.29,0.48,0.64,0.5105891722294258,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,04-LAYTON STATION,walk,633.61,0.17,0.17,0.69,0.3133301242088982,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,05-FARMINGTON STATION,walk,1083.6599999999999,0.17,0.82,0.82,0.5892478268091469,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,06-WOODS CROSS STATION,walk,1074.9399999999998,0.22,0.23,0.92,0.5074309263772862,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,07-NORTH TEMPLE STATION,walk,2996.0,0.17,0.19,0.28,0.23810400534045395,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,08-SALT LAKE CENTRAL STATION,walk,1075.38,0.12,0.22,0.22,0.20044728375086016,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,09-MURRAY CENTRAL STATION,walk,1970.1599999999999,0.13,0.33,0.45,0.31672224590896175,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,10-SOUTH JORDAN STATION,walk,831.0699999999999,0.35,0.35,0.74,0.5025017146570083,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,11-DRAPER STATION,walk,754.3399999999999,0.4,0.41,0.65,0.4561798393297452,Boardings represent only direct boardings to CRT.
