Purpose,Period,AccessMode,SegID,LinkID,Direction,N,Mode,Name,LongName,RouteDir,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT
All,ok,drive,0089_333.5,66890_71511,EB,  66890.00,      4.00,M831_WPr,M831_WPr,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0089_333.5,66889_66887,EB,  66889.00,      4.00,M831_WPr,M831_WPr,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.12,         0,         0,         0,         0,         0,      0.12
All,ok,drive,0089_333.5,66887_66886,EB,  66887.00,      4.00,M831_WPr,M831_WPr,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.26,      0.02,         0,         0,         0,         0,      0.24
All,ok,drive,2999_003.8,66886_66885,EB,  66886.00,      4.00,M831_WPr,M831_WPr,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.68,         0,         0,         0,         0,         0,      0.68
All,ok,drive,3020_000.3,66885_66928,NB,  66885.00,      4.00,M831_WPr,M831_WPr,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.36,      0.02,         0,         0,         0,         0,      0.34
All,ok,drive,3020_000.3,66928_66930,NB,  66928.00,      4.00,M831_WPr,M831_WPr,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.36,      0.03,         0,         0,         0,         0,      0.33
All,ok,drive,3020_000.6,66973_66978,NB,  66973.00,      4.00,M831_WPr,M831_WPr,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.04,         0,         0,         0,         0,         0,      0.04
All,ok,drive,3020_000.6,66978_66997,NB,  66978.00,      4.00,M831_WPr,M831_WPr,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.26,         0,         0,         0,         0,         0,      0.26
All,ok,drive,3020_000.6,66997_67020,NB,  66997.00,      4.00,M831_WPr,M831_WPr,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.04,      0.03,         0,         0,         0,         0,      0.01
All,ok,drive,3020_000.6,67020_67038,NB,  67020.00,      4.00,M831_WPr,M831_WPr,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,3032_001.0,67090_67092,WB,  67090.00,      4.00,M831_WPr,M831_WPr,      1.00,     30.00,      1.16,      1.16,         0,         0,         0,         0,         0,      2.73,      2.73,         0,         0,         0,         0,         0
All,ok,drive,3030_000.0,67058_67059,WB,  67058.00,      4.00,M831_WPr,M831_WPr,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.06,      0.06,         0,         0,         0,         0,         0
All,ok,drive,3030_000.0,67060_71555,WB,  67060.00,      4.00,M831_WPr,M831_WPr,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
