STATION_ID_1,STATION_ID_2,HBC_PK_Drive,HBO_OK_Drive,HBO_PK_Drive,HBSch_OK_Drive,HBSch_PK_Drive,HBW_OK_Drive,HBW_PK_Drive,NHB_OK_Drive,NHB_PK_Drive
05-Farmington,08-Salt Lake Central,6.2,0.0,0.0,0.0,0.0,26.02,36.38,0.0,0.0
05-Farmington,09-Murray Central,8.42,0.0,0.0,0.0,0.0,12.13,2.26,0.0,0.0
05-Farmington,10-South Jordan,0.0,0.0,0.0,0.0,0.0,9.54,10.84,0.0,0.0
05-Farmington,11-Draper,0.0,0.0,0.0,0.0,0.0,0.0,22.97,0.0,0.0
05-Farmington,12-Lehi,0.0,18.13,0.0,0.0,0.0,0.0,4.44,0.0,0.0
05-Farmington,13-American Fork,0.0,6.19,0.0,0.0,0.0,0.0,5.8,0.0,0.0
05-Farmington,14-Orem Central,16.29,8.15,0.0,0.0,0.0,3.53,0.0,0.0,0.0
05-Farmington,15-Provo Central,3.4,1.76,0.0,0.0,0.0,4.07,0.0,0.0,0.0
06-Woods Cross,07-North Temple,22.23,13.11,19.52,0.0,0.0,19.95,59.34,0.0,0.0
06-Woods Cross,08-Salt Lake Central,10.65,12.96,0.0,0.0,0.0,4.91,25.38,0.0,0.0
06-Woods Cross,09-Murray Central,26.22,0.0,0.0,0.0,10.24,4.34,42.05,7.92,0.0
06-Woods Cross,10-South Jordan,0.0,0.0,10.84,0.0,0.0,19.09,27.41,0.0,0.0
06-Woods Cross,11-Draper,0.0,0.0,0.0,0.0,0.0,13.83,40.89,0.0,18.53
06-Woods Cross,12-Lehi,0.0,0.0,0.0,0.0,0.0,0.0,28.59,0.0,0.0
06-Woods Cross,13-American Fork,0.0,0.0,11.86,0.0,0.0,0.0,5.8,0.0,0.0
06-Woods Cross,14-Orem Central,26.26,0.0,0.0,0.0,0.0,0.0,12.86,7.6,0.0
06-Woods Cross,15-Provo Central,12.08,11.67,8.68,0.0,0.0,0.0,8.51,4.07,0.0
07-North Temple,08-Salt Lake Central,0.0,42.34,0.0,0.0,0.0,0.0,6.95,6.62,1.39
07-North Temple,09-Murray Central,7.97,0.0,0.0,0.0,0.0,23.34,96.49,0.0,0.0
07-North Temple,10-South Jordan,0.0,3.17,0.0,0.0,0.0,40.32,164.73,0.0,18.82
07-North Temple,11-Draper,30.43,10.28,35.94,0.0,0.0,32.01,143.17,0.0,16.61
07-North Temple,12-Lehi,60.83,7.51,51.14,0.0,0.0,57.39,210.82,20.56,0.0
07-North Temple,13-American Fork,65.77,16.19,22.44,0.0,0.0,17.53,99.82,2.1,0.0
07-North Temple,14-Orem Central,173.32,59.52,42.86,0.0,0.0,41.56,159.62,18.03,13.57
07-North Temple,15-Provo Central,203.62,35.18,62.98,0.0,0.0,31.77,285.95,28.88,42.2
08-Salt Lake Central,09-Murray Central,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08-Salt Lake Central,10-South Jordan,0.0,5.92,0.0,0.0,0.0,25.3,31.39,0.0,0.0
08-Salt Lake Central,11-Draper,19.19,5.43,0.0,0.0,0.0,18.88,66.47,0.0,0.0
08-Salt Lake Central,12-Lehi,50.52,0.0,0.0,0.0,0.0,26.48,148.31,0.0,0.0
08-Salt Lake Central,13-American Fork,32.31,44.88,13.9,0.0,0.0,39.23,164.21,11.15,14.97
08-Salt Lake Central,14-Orem Central,100.18,14.66,38.23,3.66,0.0,52.99,171.75,7.31,7.48
08-Salt Lake Central,15-Provo Central,57.3,38.76,30.49,1.96,0.0,86.52,204.52,41.3,0.0
