Station,Source,Station_Sequence,Direction,Period,Boardings,Alightings,Board+Alight / 2
Lehi Station,OBS,13-Lehi Station,Southbound,2-Midday,128.45385000000002,344.01396,236.233905
Lehi Station,OBS,13-Lehi Station,Southbound,3-PM Peak,107.8525,260.81066,184.33158
Murray Central Station,APC,10-Murray Central Station,Northbound,1-AM Peak,172.0,522.0,347.0
Murray Central Station,APC,10-Murray Central Station,Northbound,2-Midday,172.0,341.0,256.5
Murray Central Station,APC,10-Murray Central Station,Northbound,3-PM Peak,188.0,374.0,281.0
Murray Central Station,APC,10-Murray Central Station,Northbound,4-Evening,45.0,92.0,68.5
Murray Central Station,APC,10-Murray Central Station,Southbound,1-AM Peak,425.0,227.0,326.0
Murray Central Station,APC,10-Murray Central Station,Southbound,2-Midday,410.0,146.0,278.0
Murray Central Station,APC,10-Murray Central Station,Southbound,3-PM Peak,405.0,165.0,285.0
Murray Central Station,APC,10-Murray Central Station,Southbound,4-Evening,65.0,25.0,45.0
Murray Central Station,OBS,10-Murray Central Station,Northbound,1-AM Peak,227.79804000000001,427.85496,327.8265
Murray Central Station,OBS,10-Murray Central Station,Northbound,4-Evening,61.86115,121.20136,91.531255
Murray Central Station,OBS,10-Murray Central Station,Northbound,2-Midday,154.34864,329.65936,242.004
Murray Central Station,OBS,10-Murray Central Station,Northbound,3-PM Peak,178.08342,345.20711,261.645265
Murray Central Station,OBS,10-Murray Central Station,Southbound,1-AM Peak,230.15120000000002,214.33872,222.24496
Murray Central Station,OBS,10-Murray Central Station,Southbound,4-Evening,68.07282000000001,56.674099999999996,62.37346
Murray Central Station,OBS,10-Murray Central Station,Southbound,2-Midday,499.01736,118.3452,308.68128
Murray Central Station,OBS,10-Murray Central Station,Southbound,3-PM Peak,325.42622,129.07672,227.25146999999998
North Temple Station,APC,08-North Temple Station,Northbound,1-AM Peak,144.0,1016.0,580.0
North Temple Station,APC,08-North Temple Station,Northbound,2-Midday,480.0,317.0,398.5
North Temple Station,APC,08-North Temple Station,Northbound,3-PM Peak,591.0,283.0,437.0
North Temple Station,APC,08-North Temple Station,Northbound,4-Evening,114.0,89.0,101.5
North Temple Station,APC,08-North Temple Station,Southbound,1-AM Peak,166.0,796.0,481.0
North Temple Station,APC,08-North Temple Station,Southbound,2-Midday,567.0,231.0,399.0
North Temple Station,APC,08-North Temple Station,Southbound,3-PM Peak,684.0,153.0,418.5
North Temple Station,APC,08-North Temple Station,Southbound,4-Evening,131.0,42.0,86.5
North Temple Station,OBS,08-North Temple Station,Northbound,1-AM Peak,104.73385,1175.44406,640.088955
North Temple Station,OBS,08-North Temple Station,Northbound,4-Evening,101.05425,84.09523999999999,92.574745
North Temple Station,OBS,08-North Temple Station,Northbound,2-Midday,405.77126999999996,338.31279,372.04202999999995
North Temple Station,OBS,08-North Temple Station,Northbound,3-PM Peak,640.62468,303.70901,472.16684499999997
North Temple Station,OBS,08-North Temple Station,Southbound,1-AM Peak,234.75992000000002,997.1133199999999,615.93662
North Temple Station,OBS,08-North Temple Station,Southbound,4-Evening,94.67295,29.47046,62.071705
North Temple Station,OBS,08-North Temple Station,Southbound,2-Midday,388.42896,245.27624,316.8526
North Temple Station,OBS,08-North Temple Station,Southbound,3-PM Peak,674.2943,232.55700000000002,453.42565
Ogden Station,APC,01-Ogden Station,Northbound,1-AM Peak,5.0,218.0,111.5
Ogden Station,APC,01-Ogden Station,Northbound,2-Midday,11.0,396.0,203.5
Ogden Station,APC,01-Ogden Station,Northbound,3-PM Peak,6.0,400.0,203.0
Ogden Station,APC,01-Ogden Station,Northbound,4-Evening,6.0,98.0,52.0
Ogden Station,APC,01-Ogden Station,Southbound,1-AM Peak,485.0,87.0,286.0
Ogden Station,APC,01-Ogden Station,Southbound,2-Midday,343.0,41.0,192.0
Ogden Station,APC,01-Ogden Station,Southbound,3-PM Peak,265.0,19.0,142.0
Ogden Station,APC,01-Ogden Station,Southbound,4-Evening,83.0,16.0,49.5
Ogden Station,OBS,01-Ogden Station,Northbound,1-AM Peak,0.0,192.11041,96.055205
Ogden Station,OBS,01-Ogden Station,Northbound,4-Evening,0.0,84.28188,42.14094
Ogden Station,OBS,01-Ogden Station,Northbound,2-Midday,0.0,507.38773999999995,253.69386999999998
Ogden Station,OBS,01-Ogden Station,Northbound,3-PM Peak,0.0,505.67872,252.83936
Ogden Station,OBS,01-Ogden Station,Southbound,1-AM Peak,601.9819,0.0,300.99095
Ogden Station,OBS,01-Ogden Station,Southbound,4-Evening,100.74772,0.0,50.37386
Ogden Station,OBS,01-Ogden Station,Southbound,2-Midday,423.00276,0.0,211.50138
Ogden Station,OBS,01-Ogden Station,Southbound,3-PM Peak,299.15542,0.0,149.57771
Orem Central Station,APC,15-Orem Central Station,Northbound,1-AM Peak,568.0,38.0,303.0
Orem Central Station,APC,15-Orem Central Station,Northbound,2-Midday,477.0,27.0,252.0
Orem Central Station,APC,15-Orem Central Station,Northbound,3-PM Peak,433.0,27.0,230.0
Orem Central Station,APC,15-Orem Central Station,Northbound,4-Evening,135.0,12.0,73.5
Orem Central Station,APC,15-Orem Central Station,Southbound,1-AM Peak,38.0,590.0,314.0
Orem Central Station,APC,15-Orem Central Station,Southbound,2-Midday,58.0,485.0,271.5
Orem Central Station,APC,15-Orem Central Station,Southbound,3-PM Peak,33.0,398.0,215.5
Orem Central Station,APC,15-Orem Central Station,Southbound,4-Evening,6.0,87.0,46.5
Orem Central Station,OBS,15-Orem Central Station,Northbound,1-AM Peak,517.9602199999999,0.0,258.98010999999997
Orem Central Station,OBS,15-Orem Central Station,Northbound,4-Evening,102.05222,18.52764,60.289930000000005
Orem Central Station,OBS,15-Orem Central Station,Northbound,2-Midday,490.50895,81.54336,286.026155
Orem Central Station,OBS,15-Orem Central Station,Northbound,3-PM Peak,406.47998,42.96189,224.720935
Orem Central Station,OBS,15-Orem Central Station,Southbound,1-AM Peak,50.66539,468.52111,259.59325
Orem Central Station,OBS,15-Orem Central Station,Southbound,4-Evening,9.09098,62.086240000000004,35.58861
Orem Central Station,OBS,15-Orem Central Station,Southbound,2-Midday,58.67148,496.91842,277.79495000000003
Orem Central Station,OBS,15-Orem Central Station,Southbound,3-PM Peak,36.14454,482.34310999999997,259.24382499999996
Provo Central Station,APC,16-Provo Central Station,Northbound,1-AM Peak,975.0,98.0,536.5
Provo Central Station,APC,16-Provo Central Station,Northbound,2-Midday,531.0,69.0,300.0
Provo Central Station,APC,16-Provo Central Station,Northbound,3-PM Peak,576.0,90.0,333.0
Provo Central Station,APC,16-Provo Central Station,Northbound,4-Evening,194.0,41.0,117.5
Provo Central Station,APC,16-Provo Central Station,Southbound,1-AM Peak,10.0,498.0,254.0
Provo Central Station,APC,16-Provo Central Station,Southbound,2-Midday,15.0,751.0,383.0
Provo Central Station,APC,16-Provo Central Station,Southbound,3-PM Peak,8.0,612.0,310.0
Provo Central Station,APC,16-Provo Central Station,Southbound,4-Evening,2.0,144.0,73.0
Provo Central Station,OBS,16-Provo Central Station,Northbound,1-AM Peak,1073.89124,0.0,536.94562
Provo Central Station,OBS,16-Provo Central Station,Northbound,4-Evening,238.64075,0.0,119.320375
