model,STATION_ID_1,STATION_ID_2,purpose,period,mode,trips_total
1-TDM-Recalib,01-Ogdn,04-Layt,NHB,OK,wCRT,6.7247
1-TDM-Recalib,01-Ogdn,04-Layt,NHB,PK,dCRT,0.8145
1-TDM-Recalib,01-Ogdn,04-Layt,NHB,PK,wCRT,2.9513000000000003
1-TDM-Recalib,01-Ogdn,05-Frmg,HBC,PK,dCRT,19.697400000000002
1-TDM-Recalib,01-Ogdn,05-Frmg,HBC,PK,wCRT,1.876
1-TDM-Recalib,01-Ogdn,05-Frmg,HBO,OK,dCRT,10.102500000000001
1-TDM-Recalib,01-Ogdn,05-Frmg,HBO,OK,wCRT,43.8749
1-TDM-Recalib,01-Ogdn,05-Frmg,HBO,PK,dCRT,13.2454
1-TDM-Recalib,01-Ogdn,05-Frmg,HBO,PK,wCRT,15.8198
1-TDM-Recalib,01-Ogdn,05-Frmg,HBW,OK,dCRT,6.2540000000000004
1-TDM-Recalib,01-Ogdn,05-Frmg,HBW,OK,wCRT,8.419
1-TDM-Recalib,01-Ogdn,05-Frmg,HBW,PK,dCRT,25.0373
1-TDM-Recalib,01-Ogdn,05-Frmg,HBW,PK,wCRT,17.555
1-TDM-Recalib,01-Ogdn,05-Frmg,NHB,OK,dCRT,1.1622000000000001
1-TDM-Recalib,01-Ogdn,05-Frmg,NHB,OK,wCRT,6.4511
1-TDM-Recalib,01-Ogdn,05-Frmg,NHB,PK,dCRT,0.6621
1-TDM-Recalib,01-Ogdn,05-Frmg,NHB,PK,wCRT,3.2081
1-TDM-Recalib,01-Ogdn,06-WC,HBC,PK,dCRT,9.9865
1-TDM-Recalib,01-Ogdn,06-WC,HBC,PK,wCRT,7.0813
1-TDM-Recalib,01-Ogdn,06-WC,HBO,OK,dCRT,0.6196
1-TDM-Recalib,01-Ogdn,06-WC,HBO,OK,wCRT,1.264
1-TDM-Recalib,01-Ogdn,06-WC,HBO,PK,dCRT,0.7193
1-TDM-Recalib,01-Ogdn,06-WC,HBO,PK,wCRT,0.6219
1-TDM-Recalib,01-Ogdn,06-WC,HBW,OK,dCRT,1.4621
1-TDM-Recalib,01-Ogdn,06-WC,HBW,OK,wCRT,2.1394
1-TDM-Recalib,01-Ogdn,06-WC,HBW,PK,dCRT,11.0971
1-TDM-Recalib,01-Ogdn,06-WC,HBW,PK,wCRT,9.5281
1-TDM-Recalib,01-Ogdn,06-WC,NHB,OK,dCRT,0.4783
1-TDM-Recalib,01-Ogdn,06-WC,NHB,OK,wCRT,1.0709
1-TDM-Recalib,01-Ogdn,06-WC,NHB,PK,dCRT,0.3185
1-TDM-Recalib,01-Ogdn,06-WC,NHB,PK,wCRT,1.0235
1-TDM-Recalib,01-Ogdn,07-NTmp,HBC,PK,dCRT,15.9234
1-TDM-Recalib,01-Ogdn,07-NTmp,HBC,PK,wCRT,7.0731
1-TDM-Recalib,01-Ogdn,07-NTmp,HBO,OK,dCRT,11.8727
1-TDM-Recalib,01-Ogdn,07-NTmp,HBO,OK,wCRT,51.7797
1-TDM-Recalib,01-Ogdn,07-NTmp,HBO,PK,dCRT,16.2726
1-TDM-Recalib,01-Ogdn,07-NTmp,HBO,PK,wCRT,22.2023
1-TDM-Recalib,01-Ogdn,07-NTmp,HBW,OK,dCRT,44.4683
1-TDM-Recalib,01-Ogdn,07-NTmp,HBW,OK,wCRT,57.2221
1-TDM-Recalib,01-Ogdn,07-NTmp,HBW,PK,dCRT,154.9844
1-TDM-Recalib,01-Ogdn,07-NTmp,HBW,PK,wCRT,94.3535
